Width,Height,MaxIter,BlockX,BlockY,GridX,GridY,Time
ERROR: Image is not valid for settings (2400,2400,10000,784,240,3,10).
ERROR: Image is not valid for settings (2400,2400,10000,784,256,3,9).
ERROR: Image is not valid for settings (2400,2400,10000,784,272,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,784,288,3,8).
ERROR: Image is not valid for settings (2400,2400,10000,784,304,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,784,320,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,784,336,3,7).
ERROR: Image is not valid for settings (2400,2400,10000,784,352,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,784,368,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,784,384,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,784,400,3,6).
ERROR: Image is not valid for settings (2400,2400,10000,784,416,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,784,432,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,784,448,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,784,464,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,784,480,3,5).
ERROR: Image is not valid for settings (2400,2400,10000,784,496,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,512,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,528,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,544,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,560,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,576,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,592,3,4).
ERROR: Image is not valid for settings (2400,2400,10000,784,608,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,624,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,640,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,656,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,672,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,688,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,704,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,720,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,736,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,752,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,768,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,784,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,800,3,3).
ERROR: Image is not valid for settings (2400,2400,10000,784,816,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,832,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,848,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,864,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,880,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,896,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,912,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,928,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,944,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,960,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,976,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,992,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,1008,3,2).
ERROR: Image is not valid for settings (2400,2400,10000,784,1024,3,2).
2400,2400,10000,800,1,3,2400,4.142994
2400,2400,10000,816,1,2,2400,3.553948
2400,2400,10000,832,1,2,2400,3.583773
2400,2400,10000,848,1,2,2400,3.597679
2400,2400,10000,864,1,2,2400,3.633226
2400,2400,10000,880,1,2,2400,3.637392
2400,2400,10000,896,1,2,2400,3.666951
2400,2400,10000,912,1,2,2400,3.713524
ERROR: Image is not valid for settings (2400,2400,10000,912,304,2,7).
ERROR: Image is not valid for settings (2400,2400,10000,912,320,2,7).
ERROR: Image is not valid for settings (2400,2400,10000,912,336,2,7).
ERROR: Image is not valid for settings (2400,2400,10000,912,352,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,912,368,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,912,384,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,912,400,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,912,416,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,912,432,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,912,448,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,912,464,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,912,480,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,912,496,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,512,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,528,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,544,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,560,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,576,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,592,2,4).
ERROR: Image is not valid for settings (2400,2400,10000,912,608,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,624,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,640,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,656,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,672,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,688,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,704,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,720,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,736,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,752,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,768,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,784,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,800,2,3).
ERROR: Image is not valid for settings (2400,2400,10000,912,816,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,832,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,848,2,2).
